Vortex	x	y
1	176	789
2	184	811
3	359	759
4	761	758
5	515	750
6	449	725
7	351	686
8	153	694
9	362	656
10	120	661
11	357	640
12	6	632
13	23	640
14	446	606
15	337	576
16	732	550
17	371	543
18	806	533
19	424	518
20	643	478
21	239	479
22	395	476
23	375	483
24	487	473
25	791	472
26	130	465
27	175	458
28	58	458
29	272	444
30	503	433
31	337	433
32	669	397
33	298	392
34	209	369
35	92	367
36	498	351
37	343	328
38	464	318
39	383	313
40	66	301
41	274	269
42	337	172
43	419	147
44	266	83
45	57	53
46	344	25
47	282	10
