Vortex	x	y
1	458	793
2	362	743
3	567	711
4	451	629
5	551	603
6	589	580
7	362	543
8	469	483
9	452	500
10	613	463
11	273	454
12	70	455
13	563	452
14	187	364
15	24	357
16	332	347
17	315	364
18	587	347
19	629	330
20	526	330
21	629	304
22	527	297
23	486	290
24	517	288
25	576	286
26	624	276
27	748	270
28	670	271
29	730	268
30	718	270
31	684	267
32	213	264
33	639	263
34	590	258
35	363	252
36	103	249
37	521	237
38	536	242
39	470	230
40	559	227
41	239	226
42	352	203
43	540	191
44	512	186
45	485	187
46	553	176
47	545	145
48	549	132
49	546	101
50	547	92
51	546	68
