Vortex	x	y
1	662	797
2	469	788
3	635	700
4	453	577
5	361	574
6	660	564
7	603	562
8	612	578
9	585	556
10	721	489
11	768	480
12	787	477
13	743	474
14	694	468
15	636	461
16	242	455
17	522	449
18	575	445
19	238	362
20	530	360
21	638	358
22	586	360
23	685	354
24	28	347
25	729	345
26	770	336
27	510	336
28	808	327
29	796	314
30	480	307
31	366	293
32	456	286
33	750	263
34	371	242
35	259	232
36	455	229
37	697	225
38	702	241
39	744	219
40	783	215
41	765	210
42	713	206
43	234	206
44	256	213
45	657	200
46	355	181
47	457	178
48	114	181
49	616	159
50	252	155
51	13	155
52	462	131
53	348	123
54	572	114
55	591	118
56	610	103
57	327	96
58	470	87
59	342	72
60	597	71
61	551	66
62	605	52
63	336	48
64	480	45
65	601	33
66	338	29
67	501	19
68	489	7
