Vortex	x	y
1	606	762
2	587	660
3	452	659
4	358	611
5	561	587
6	592	587
7	650	533
8	451	513
9	697	477
10	681	470
11	631	461
12	218	457
13	206	457
14	577	453
15	494	440
16	510	423
17	507	385
18	302	365
19	157	364
20	602	357
21	645	349
22	554	352
23	375	322
24	430	308
25	389	304
26	524	291
27	682	269
28	638	259
29	461	259
30	229	255
31	586	250
32	363	239
33	565	229
34	154	229
35	228	224
36	460	213
37	53	210
38	355	184
39	557	177
40	467	171
41	283	165
42	318	160
43	304	160
44	547	134
45	344	132
46	339	119
47	338	4
