Vortex	x	y
1	814	814
2	505	813
3	327	807
4	373	794
5	454	782
6	478	777
7	367	716
8	451	668
9	321	618
10	544	585
11	515	583
12	481	597
13	616	574
14	340	573
15	387	541
16	340	522
17	498	503
18	758	498
19	198	495
20	350	496
21	613	491
22	717	489
23	9	488
24	429	481
25	522	479
26	292	476
27	243	476
28	320	465
29	99	449
30	21	444
31	661	429
32	275	429
33	335	387
34	479	383
35	727	380
36	147	364
37	34	362
38	39	337
39	433	337
40	312	317
41	224	325
42	2	311
43	232	307
44	337	294
45	231	272
46	325	204
47	241	200
48	386	154
49	326	99
50	436	88
51	318	58
