Vortex	x	y
1	811	809
2	507	807
3	328	801
4	373	780
5	478	771
6	453	766
7	368	696
8	450	638
9	322	613
10	542	580
11	609	571
12	339	564
13	387	533
14	339	527
15	498	498
16	762	497
17	202	494
18	623	490
19	353	491
20	711	487
21	15	488
22	522	477
23	288	476
24	251	477
25	437	473
26	455	463
27	324	463
28	491	456
29	120	448
30	36	443
31	283	429
32	668	425
33	489	387
34	789	377
35	343	377
36	178	366
37	50	363
38	352	361
39	44	337
40	428	327
41	359	325
42	318	317
43	9	309
44	236	304
45	228	321
46	338	294
47	235	274
48	245	207
49	325	192
50	391	147
51	329	105
52	319	53
53	438	27
54	7	3
