Vortex	x	y
1	589	812
2	150	811
3	440	802
4	796	793
5	512	790
6	331	781
7	483	759
8	340	751
9	374	741
10	341	726
11	449	723
12	5	665
13	381	613
14	324	602
15	443	582
16	766	574
17	538	569
18	590	561
19	775	490
20	214	491
21	640	486
22	354	487
23	496	486
24	36	484
25	706	479
26	91	475
27	63	476
28	329	462
29	528	467
30	75	441
31	202	435
32	678	420
33	522	378
34	13	376
35	234	374
36	92	367
37	614	335
38	58	333
39	725	326
40	535	325
41	330	320
42	26	305
43	437	294
44	343	282
45	353	295
46	490	281
47	247	279
48	254	225
49	3	225
50	481	202
51	330	176
52	397	138
53	337	110
54	489	90
55	242	52
56	325	41
57	22	20
