Vortex	x	y
1	462	799
2	447	780
3	461	752
4	360	704
5	307	663
6	539	645
7	717	618
8	433	587
9	758	513
10	152	508
11	559	505
12	615	498
13	504	496
14	439	473
15	413	474
16	112	455
17	460	454
18	682	417
19	474	405
20	342	402
21	229	382
22	343	376
23	34	368
24	470	367
25	540	361
26	616	358
27	362	356
28	63	355
29	17	354
30	525	352
31	448	346
32	411	341
33	320	312
34	692	309
35	465	291
36	787	286
37	171	277
38	454	275
39	311	257
40	458	200
41	318	198
42	398	134
43	506	124
44	198	98
45	303	59
46	530	29
