Vortex	x	y
1	813	811
2	506	810
3	328	804
4	373	787
5	454	774
6	478	774
7	368	706
8	451	654
9	321	615
10	543	582
11	509	583
12	487	592
13	612	572
14	339	569
15	387	537
16	339	526
17	498	500
18	761	498
19	200	494
20	351	494
21	618	491
22	713	488
23	11	488
24	522	478
25	431	478
26	290	477
27	247	477
28	322	464
29	109	448
30	29	443
31	665	428
32	279	429
33	485	386
34	337	384
35	749	377
36	162	365
37	42	362
38	41	337
39	429	330
40	315	318
41	5	309
42	235	303
43	226	325
44	337	293
45	233	273
46	243	203
47	325	197
48	389	150
49	328	102
50	439	67
51	317	54
52	4	1
