Vortex	x	y
1	368	813
2	153	808
3	585	807
4	440	796
5	792	789
6	513	786
7	340	755
8	332	776
9	484	755
10	374	734
11	341	719
12	448	713
13	7	662
14	382	608
15	326	599
16	760	572
17	442	571
18	587	559
19	216	490
20	778	488
21	641	485
22	494	484
23	353	484
24	707	476
25	70	475
26	38	484
27	96	474
28	541	470
29	331	464
30	538	462
31	466	465
32	3	448
33	82	441
34	207	434
35	680	419
36	469	409
37	20	376
38	245	374
39	553	373
40	102	366
41	406	347
42	352	350
43	60	331
44	550	327
45	595	333
46	746	324
47	332	321
48	30	304
49	249	282
50	354	277
51	345	274
52	443	262
53	487	253
54	257	229
55	9	232
56	482	224
57	331	175
58	396	135
59	339	108
60	492	68
61	244	56
62	328	38
63	26	23
