Vortex	x	y
1	813	813
2	505	812
3	328	806
4	373	793
5	454	780
6	478	776
7	368	715
8	452	666
9	321	617
10	544	584
11	496	589
12	615	574
13	339	572
14	387	540
15	338	526
16	498	502
17	758	498
18	198	495
19	350	496
20	615	491
21	716	489
22	9	488
23	429	481
24	522	479
25	291	477
26	244	476
27	320	464
28	101	449
29	23	443
30	275	429
31	662	428
32	335	387
33	481	384
34	732	379
35	150	364
36	36	362
37	39	337
38	432	335
39	312	317
40	3	310
41	233	306
42	221	335
43	337	294
44	231	273
45	325	201
46	242	201
47	387	154
48	326	100
49	437	85
50	317	56
