Vortex	x	y
1	460	789
2	698	754
3	474	748
4	474	629
5	740	546
6	630	527
7	363	508
8	800	481
9	814	476
10	770	472
11	712	465
12	450	464
13	509	456
14	647	455
15	306	453
16	553	449
17	591	447
18	351	364
19	650	362
20	26	356
21	693	352
22	736	350
23	781	347
24	187	341
25	67	341
26	360	307
27	367	263
28	370	223
29	286	184
30	788	180
31	360	168
32	455	165
33	722	149
34	732	169
35	752	138
36	773	149
37	464	122
38	60	118
39	350	103
40	644	84
41	664	93
42	1	81
43	467	78
44	270	75
45	676	60
46	344	47
47	668	45
48	468	35
49	636	28
50	335	16
