Vortex	x	y
1	359	814
2	51	804
3	339	792
4	477	789
5	338	769
6	442	761
7	12	764
8	360	694
9	469	664
10	473	686
11	467	641
12	316	638
13	434	636
14	546	606
15	652	591
16	502	590
17	379	589
18	349	585
19	501	542
20	756	504
21	178	500
22	572	494
23	436	492
24	702	489
25	47	478
26	23	476
27	710	472
28	231	467
29	3	457
30	121	455
31	347	447
32	369	472
33	227	436
34	681	397
35	180	383
36	323	380
37	54	374
38	171	348
39	149	346
40	27	338
41	275	315
42	226	313
43	811	279
44	210	270
45	322	243
46	224	164
47	418	134
48	327	115
49	344	106
50	311	59
51	537	4
