Vortex	x	y
1	806	803
2	508	801
3	329	795
4	373	766
5	479	764
6	451	751
7	1	676
8	368	671
9	323	609
10	443	609
11	801	585
12	540	576
13	602	567
14	339	555
15	340	532
16	385	523
17	767	496
18	207	493
19	498	493
20	630	489
21	355	489
22	21	487
23	707	484
24	371	480
25	283	476
26	262	476
27	63	476
28	521	475
29	326	462
30	505	461
31	146	448
32	335	445
33	50	442
34	292	430
35	672	422
36	497	387
37	206	372
38	64	365
39	50	336
40	429	319
41	323	318
42	355	311
43	15	308
44	341	295
45	239	275
46	248	213
47	327	186
48	395	143
49	331	109
50	321	49
51	233	23
52	12	9
