Vortex	x	y
1	811	809
2	507	808
3	328	802
4	373	781
5	478	770
6	453	767
7	368	698
8	450	641
9	321	614
10	542	581
11	509	582
12	492	589
13	610	571
14	339	565
15	387	534
16	339	527
17	761	497
18	498	498
19	202	494
20	622	490
21	353	490
22	710	487
23	14	488
24	522	478
25	288	477
26	250	477
27	435	474
28	324	462
29	459	461
30	488	455
31	118	448
32	34	442
33	282	429
34	667	426
35	488	387
36	779	377
37	342	379
38	175	366
39	49	363
40	354	355
41	45	337
42	361	328
43	428	327
44	317	317
45	8	310
46	235	306
47	227	327
48	338	294
49	235	274
50	244	208
51	325	193
52	391	148
53	328	105
54	318	54
55	439	37
56	6	3
