Vortex	x	y
1	174	790
2	184	814
3	361	764
4	764	761
5	516	753
6	448	730
7	349	690
8	368	670
9	358	662
10	110	654
11	159	707
12	356	647
13	3	632
14	23	642
15	447	613
16	336	578
17	374	556
18	734	551
19	553	543
20	535	547
21	810	535
22	424	521
23	237	481
24	640	479
25	378	480
26	399	477
27	488	473
28	793	472
29	126	466
30	170	460
31	153	457
32	52	455
33	147	448
34	260	442
35	336	437
36	490	441
37	339	417
38	668	395
39	295	391
40	203	369
41	85	367
42	493	349
43	342	327
44	466	321
45	375	325
46	63	301
47	270	276
48	273	264
49	337	175
50	420	149
51	264	82
52	55	51
53	343	23
54	281	5
