Vortex	x	y
1	177	803
2	362	767
3	766	763
4	517	755
5	447	734
6	349	692
7	369	676
8	356	665
9	115	661
10	157	705
11	356	652
12	12	638
13	447	617
14	335	580
15	375	564
16	735	553
17	563	543
18	532	549
19	812	536
20	425	522
21	236	481
22	638	479
23	377	480
24	404	478
25	793	473
26	488	474
27	123	467
28	165	461
29	150	459
30	48	452
31	480	449
32	140	447
33	336	439
34	250	440
35	338	412
36	665	394
37	292	390
38	81	369
39	198	368
40	490	348
41	366	336
42	342	327
43	468	326
44	269	275
45	61	300
46	272	262
47	336	177
48	420	150
49	263	81
50	53	49
51	342	24
52	280	3
