Vortex	x	y
1	679	785
2	656	671
3	364	664
4	661	626
5	460	594
6	612	551
7	725	536
8	733	508
9	733	494
10	729	474
11	672	463
12	151	453
13	584	428
14	585	401
15	578	364
16	532	358
17	660	356
18	222	356
19	612	356
20	705	354
21	554	351
22	749	348
23	792	338
24	807	287
25	457	283
26	465	263
27	763	241
28	451	238
29	417	232
30	760	218
31	370	225
32	809	207
33	460	202
34	770	200
35	262	202
36	719	194
37	660	183
38	144	159
39	633	155
40	460	155
41	190	154
42	351	143
43	30	138
44	462	111
45	622	97
46	280	90
47	340	86
48	307	83
49	468	66
50	598	55
51	576	52
52	616	46
53	478	24
54	528	8
55	607	8
