Vortex	x	y
1	157	806
2	368	804
3	574	799
4	441	785
5	787	784
6	514	780
7	487	754
8	374	722
9	343	713
10	449	697
11	10	658
12	382	604
13	327	596
14	753	568
15	532	563
16	581	556
17	439	556
18	220	489
19	784	484
20	640	483
21	492	481
22	352	480
23	103	473
24	711	471
25	474	472
26	335	463
27	12	448
28	93	442
29	213	433
30	685	423
31	466	383
32	258	376
33	32	375
34	600	371
35	118	367
36	1	353
37	432	349
38	62	329
39	334	322
40	349	351
41	791	320
42	36	302
43	253	283
44	17	242
45	260	236
46	445	216
47	333	175
48	394	131
49	345	105
50	248	61
51	332	31
52	32	28
53	496	25
