Vortex	x	y
1	809	806
2	508	804
3	328	798
4	373	772
5	479	769
6	452	756
7	368	683
8	1	678
9	444	617
10	323	611
11	541	578
12	605	569
13	339	559
14	339	531
15	386	528
16	764	496
17	498	495
18	205	493
19	627	490
20	355	489
21	19	487
22	709	486
23	285	476
24	257	477
25	521	476
26	370	463
27	326	461
28	499	459
29	134	449
30	351	445
31	44	443
32	288	430
33	670	423
34	493	388
35	814	380
36	197	370
37	58	363
38	48	336
39	428	322
40	321	318
41	356	316
42	12	309
43	340	296
44	238	275
45	247	210
46	326	189
47	394	145
48	330	107
49	320	51
50	10	6
