Vortex	x	y
1	170	798
2	364	778
3	771	768
4	445	747
5	490	743
6	557	778
7	347	698
8	371	689
9	16	645
10	449	637
11	333	584
12	381	582
13	739	556
14	559	547
15	536	552
16	428	530
17	232	483
18	635	479
19	373	479
20	795	475
21	415	476
22	573	473
23	483	473
24	503	477
25	352	474
26	119	468
27	142	463
28	472	463
29	727	463
30	341	463
31	715	453
32	813	449
33	38	450
34	127	445
35	338	442
36	234	435
37	340	400
38	658	390
39	286	388
40	69	371
41	178	366
42	353	343
43	475	339
44	342	330
45	71	322
46	340	317
47	265	279
48	39	263
49	62	312
50	269	254
51	343	244
52	336	181
53	425	157
54	363	100
55	352	90
56	259	77
57	48	44
58	340	22
