Vortex	x	y
1	183	812
2	175	798
3	362	766
4	765	762
5	516	754
6	447	733
7	349	691
8	368	672
9	357	665
10	112	657
11	158	704
12	354	647
13	1	631
14	24	644
15	447	616
16	334	579
17	374	561
18	735	552
19	552	544
20	535	548
21	811	536
22	425	523
23	236	481
24	639	479
25	377	480
26	403	477
27	793	473
28	489	474
29	124	467
30	167	461
31	150	458
32	49	454
33	143	447
34	485	444
35	254	440
36	336	439
37	338	413
38	666	395
39	293	390
40	200	368
41	83	368
42	490	348
43	342	327
44	370	331
45	468	326
46	268	280
47	62	300
48	272	262
49	336	176
50	421	149
51	263	81
52	54	50
53	343	22
54	279	2
