Vortex	x	y
1	368	813
2	587	808
3	152	808
4	440	797
5	793	790
6	512	786
7	334	771
8	484	757
9	339	755
10	374	735
11	341	721
12	449	715
13	7	663
14	382	609
15	326	600
16	763	572
17	441	572
18	533	567
19	587	559
20	216	490
21	778	488
22	641	485
23	494	484
24	353	484
25	707	477
26	71	475
27	37	484
28	95	474
29	539	471
30	331	464
31	535	462
32	466	463
33	2	448
34	81	441
35	207	434
36	680	419
37	469	412
38	545	374
39	243	374
40	19	375
41	100	367
42	354	351
43	404	347
44	593	333
45	60	332
46	559	328
47	743	324
48	331	321
49	30	304
50	248	283
51	354	280
52	345	276
53	442	269
54	487	258
55	256	228
56	7	229
57	483	221
58	331	174
59	396	135
60	339	109
61	492	73
62	244	55
63	327	38
64	26	23
