Vortex	x	y
1	176	802
2	363	769
3	767	763
4	517	756
5	447	735
6	349	693
7	369	676
8	356	667
9	112	660
10	154	700
11	355	652
12	13	639
13	448	620
14	335	581
15	377	569
16	736	553
17	544	546
18	812	537
19	426	525
20	235	482
21	637	479
22	377	479
23	405	477
24	794	473
25	488	474
26	123	467
27	346	468
28	163	461
29	148	459
30	46	453
31	477	453
32	139	446
33	336	440
34	248	439
35	338	410
36	665	395
37	292	390
38	80	369
39	194	367
40	488	347
41	363	338
42	343	328
43	468	327
44	267	278
45	60	300
46	271	263
47	337	178
48	422	151
49	262	80
50	52	48
51	342	23
