Vortex	x	y
1	458	788
2	362	739
3	565	714
4	452	627
5	551	605
6	589	578
7	361	538
8	469	486
9	452	500
10	612	463
11	277	455
12	563	453
13	76	454
14	189	364
15	28	357
16	331	346
17	317	363
18	586	346
19	525	329
20	629	329
21	629	305
22	527	297
23	578	292
24	487	291
25	517	288
26	575	281
27	623	275
28	744	270
29	711	270
30	669	271
31	728	269
32	685	267
33	211	265
34	640	263
35	590	258
36	363	253
37	103	249
38	520	237
39	537	245
40	471	230
41	558	226
42	240	225
43	352	202
44	540	192
45	511	187
46	485	187
47	553	176
48	545	147
49	549	131
50	546	104
51	547	88
52	546	75
