Vortex	x	y
1	365	764
2	620	745
3	464	738
4	603	584
5	601	574
6	576	567
7	452	562
8	655	555
9	365	493
10	675	471
11	364	466
12	619	460
13	486	461
14	350	453
15	563	451
16	323	451
17	52	451
18	576	364
19	254	363
20	626	360
21	672	353
22	78	352
23	516	353
24	715	346
25	753	334
26	356	330
27	741	307
28	462	299
29	696	254
30	364	252
31	248	240
32	451	239
33	636	226
34	645	244
35	686	223
36	712	214
37	729	220
38	229	213
39	246	216
40	659	210
41	69	196
42	355	197
43	457	189
44	572	172
45	592	179
46	262	160
47	606	156
48	463	144
49	344	142
50	592	128
51	562	120
52	471	101
53	595	87
54	602	101
55	507	74
56	481	62
