Vortex	x	y
1	455	803
2	348	781
3	305	724
4	527	720
5	381	712
6	646	690
7	801	656
8	575	640
9	466	619
10	378	549
11	347	537
12	562	528
13	778	512
14	91	511
15	596	509
16	508	485
17	399	471
18	524	471
19	388	470
20	34	468
21	279	467
22	630	455
23	104	435
24	265	437
25	693	418
26	476	386
27	13	362
28	571	356
29	199	350
30	431	339
31	705	338
32	624	336
33	742	330
34	330	308
35	344	292
36	95	289
37	287	254
38	459	246
39	176	241
40	306	219
41	480	191
42	361	185
43	125	169
44	397	122
45	477	113
46	487	70
47	304	39
48	159	15
