Vortex	x	y
1	169	799
2	365	780
3	772	769
4	510	760
5	559	780
6	444	750
7	494	747
8	347	700
9	371	692
10	16	646
11	450	642
12	332	585
13	381	585
14	740	557
15	568	547
16	535	553
17	429	533
18	231	483
19	634	479
20	373	477
21	796	475
22	419	475
23	576	473
24	354	475
25	116	469
26	726	464
27	470	461
28	500	477
29	340	463
30	35	451
31	713	452
32	810	449
33	123	445
34	338	443
35	231	435
36	341	397
37	284	388
38	655	388
39	66	371
40	173	365
41	340	328
42	354	346
43	339	318
44	68	321
45	51	297
46	264	279
47	38	264
48	268	253
49	343	240
50	336	181
51	427	160
52	363	102
53	351	89
54	258	75
55	47	42
56	340	21
57	367	5
