Vortex	x	y
1	452	792
2	363	695
3	304	678
4	537	671
5	434	655
6	583	644
7	603	650
8	749	632
9	334	617
10	329	561
11	342	517
12	749	511
13	136	511
14	556	507
15	521	498
16	618	496
17	256	487
18	198	482
19	299	473
20	474	475
21	120	453
22	497	451
23	700	394
24	160	381
25	474	374
26	499	366
27	23	364
28	339	342
29	442	340
30	510	338
31	365	318
32	449	315
33	740	310
34	478	306
35	319	295
36	778	295
37	143	279
38	309	259
39	165	213
40	172	231
41	319	198
42	422	116
43	505	76
44	305	66
45	184	67
46	520	37
