Vortex	x	y
1	455	779
2	348	749
3	305	718
4	529	715
5	383	691
6	642	685
7	795	654
8	576	645
9	445	637
10	354	519
11	340	545
12	566	521
13	772	512
14	98	511
15	591	508
16	509	488
17	67	468
18	444	468
19	572	467
20	294	463
21	270	475
22	607	457
23	124	433
24	700	417
25	491	377
26	347	372
27	179	371
28	529	361
29	36	361
30	638	343
31	659	345
32	759	327
33	438	325
34	327	307
35	101	287
36	454	286
37	295	250
38	350	243
39	171	239
40	308	225
41	359	208
42	131	174
43	472	167
44	398	116
45	489	54
46	303	43
47	162	21
