Vortex	x	y
1	49	813
2	337	798
3	475	792
4	440	791
5	336	781
6	2	767
7	370	750
8	474	713
9	435	653
10	313	645
11	545	614
12	377	613
13	667	598
14	356	584
15	500	583
16	339	573
17	501	563
18	338	551
19	360	550
20	759	508
21	172	503
22	568	496
23	673	488
24	35	479
25	16	479
26	265	478
27	669	476
28	241	476
29	232	460
30	266	456
31	516	452
32	66	446
33	485	440
34	437	480
35	203	439
36	673	395
37	163	381
38	24	377
39	371	346
40	337	378
41	102	341
42	24	340
43	375	336
44	253	315
45	232	315
46	363	300
47	804	280
48	203	270
49	320	247
50	218	149
51	341	146
52	328	143
53	421	142
54	308	57
55	536	11
