Vortex	x	y
1	367	807
2	156	805
3	578	801
4	440	789
5	789	786
6	514	782
7	487	754
8	374	726
9	343	714
10	449	703
11	9	660
12	383	605
13	327	597
14	754	569
15	533	564
16	440	561
17	583	557
18	219	489
19	782	485
20	641	483
21	352	482
22	493	482
23	101	473
24	710	473
25	472	471
26	334	464
27	9	448
28	90	441
29	211	433
30	683	421
31	467	391
32	27	375
33	254	375
34	588	371
35	113	366
36	423	348
37	345	344
38	61	330
39	775	322
40	334	324
41	34	303
42	252	282
43	14	238
44	259	233
45	445	228
46	332	175
47	395	132
48	342	106
49	247	61
50	494	42
51	331	32
52	29	26
