Vortex	x	y
1	158	805
2	368	803
3	573	798
4	441	783
5	786	783
6	515	779
7	488	755
8	374	721
9	343	712
10	449	695
11	10	657
12	383	602
13	328	595
14	754	567
15	533	563
16	579	555
17	439	556
18	221	489
19	786	484
20	640	483
21	352	479
22	104	472
23	712	470
24	469	468
25	495	482
26	335	464
27	13	447
28	95	442
29	214	434
30	685	422
31	466	381
32	260	377
33	33	375
34	603	371
35	120	367
36	1	353
37	435	350
38	343	342
39	63	329
40	334	322
41	796	320
42	38	303
43	253	283
44	260	236
45	18	241
46	445	213
47	333	176
48	394	130
49	344	104
50	249	64
51	332	31
52	33	30
53	496	20
