Vortex	x	y
1	462	793
2	464	781
3	342	755
4	459	746
5	258	747
6	286	772
7	728	725
8	493	707
9	354	701
10	446	678
11	463	665
12	360	625
13	429	577
14	363	563
15	458	549
16	44	528
17	68	558
18	717	528
19	475	520
20	771	515
21	61	473
22	114	462
23	444	465
24	190	456
25	604	443
26	246	444
27	261	462
28	238	385
29	713	377
30	138	369
31	351	372
32	69	358
33	267	357
34	149	354
35	41	351
36	27	354
37	510	349
38	700	349
39	296	340
40	667	339
41	109	324
42	467	307
43	373	212
44	478	151
45	467	117
46	438	104
47	288	99
48	92	89
49	300	45
