Vortex	x	y
1	809	805
2	509	803
3	328	796
4	373	769
5	479	766
6	452	755
7	367	677
8	1	677
9	443	613
10	323	610
11	811	587
12	541	577
13	604	568
14	339	556
15	340	531
16	386	526
17	765	495
18	498	494
19	206	493
20	628	489
21	354	489
22	20	487
23	708	485
24	284	476
25	259	476
26	521	476
27	372	476
28	326	462
29	502	460
30	139	448
31	339	444
32	47	443
33	290	430
34	671	422
35	495	386
36	202	372
37	61	364
38	49	336
39	429	320
40	322	318
41	356	314
42	13	309
43	340	294
44	239	274
45	247	213
46	326	187
47	394	145
48	331	107
49	319	50
50	230	11
51	10	6
