Vortex	x	y
1	148	811
2	441	808
3	799	796
4	511	792
5	331	783
6	482	759
7	340	750
8	374	747
9	449	729
10	340	729
11	4	667
12	380	617
13	324	604
14	443	589
15	771	576
16	536	571
17	594	563
18	212	492
19	773	491
20	638	487
21	496	487
22	354	487
23	32	485
24	706	480
25	87	475
26	65	475
27	328	463
28	518	461
29	529	473
30	69	442
31	198	437
32	677	419
33	513	381
34	227	374
35	8	375
36	86	366
37	632	336
38	56	333
39	712	329
40	328	320
41	434	303
42	23	304
43	492	295
44	525	324
45	348	293
46	245	279
47	253	222
48	480	182
49	329	177
50	397	138
51	335	110
52	487	104
53	240	47
54	324	43
55	19	16
