Vortex	x	y
1	366	783
2	466	765
3	623	735
4	607	582
5	452	571
6	602	568
7	580	561
8	658	559
9	367	504
10	718	486
11	729	477
12	683	470
13	627	460
14	508	455
15	32	450
16	569	448
17	312	448
18	581	363
19	245	364
20	632	359
21	524	359
22	678	353
23	51	350
24	722	345
25	512	343
26	763	337
27	361	308
28	473	304
29	744	295
30	456	291
31	699	248
32	368	247
33	254	236
34	453	235
35	693	225
36	736	219
37	713	210
38	241	211
39	658	205
40	80	192
41	355	189
42	457	184
43	257	158
44	611	158
45	463	138
46	346	133
47	591	122
48	568	117
49	606	103
50	329	97
51	471	94
52	339	87
53	597	80
54	519	71
55	480	53
