Vortex	x	y
1	470	798
2	665	793
3	642	688
4	361	583
5	454	580
6	661	567
7	603	559
8	612	579
9	587	554
10	722	489
11	765	479
12	750	473
13	699	468
14	640	461
15	233	454
16	526	447
17	576	443
18	531	409
19	530	394
20	236	362
21	532	359
22	641	359
23	589	358
24	688	354
25	732	346
26	17	345
27	774	336
28	508	333
29	812	328
30	797	310
31	483	308
32	369	289
33	431	287
34	423	286
35	410	285
36	457	284
37	752	259
38	373	239
39	702	232
40	262	229
41	457	227
42	746	218
43	787	214
44	764	209
45	713	205
46	235	204
47	259	213
48	658	199
49	355	176
50	457	174
51	125	174
52	617	158
53	250	154
54	21	150
55	462	128
56	348	117
57	575	113
58	591	116
59	611	102
60	327	94
61	470	84
62	597	69
63	556	64
64	341	63
65	607	51
66	337	51
67	480	42
68	601	28
69	505	18
70	489	3
