Vortex	x	y
1	51	811
2	338	799
3	475	791
4	440	781
5	337	778
6	4	764
7	368	739
8	475	707
9	434	646
10	314	642
11	546	610
12	377	605
13	661	595
14	501	587
15	354	586
16	343	580
17	500	553
18	340	542
19	355	534
20	758	507
21	174	502
22	568	495
23	684	488
24	436	485
25	40	479
26	18	478
27	684	475
28	274	476
29	237	474
30	229	461
31	282	460
32	77	448
33	211	438
34	676	397
35	169	382
36	331	379
37	35	376
38	110	341
39	25	340
40	261	315
41	229	315
42	806	280
43	204	271
44	320	248
45	220	154
46	419	139
47	328	132
48	340	131
49	309	58
50	536	9
