Vortex	x	y
1	458	802
2	358	778
3	567	710
4	451	632
5	553	599
6	589	580
7	362	549
8	454	500
9	469	486
10	655	480
11	615	463
12	57	456
13	47	458
14	267	454
15	564	452
16	183	365
17	316	361
18	16	357
19	587	347
20	331	346
21	631	334
22	526	331
23	630	303
24	527	297
25	485	289
26	517	288
27	577	286
28	625	277
29	766	270
30	671	271
31	683	267
32	216	264
33	639	262
34	589	256
35	363	252
36	106	249
37	522	237
38	536	242
39	469	229
40	559	227
41	236	226
42	353	201
43	539	191
44	513	186
45	482	185
46	553	178
47	335	161
48	545	144
49	548	133
50	546	46
