Vortex	x	y
1	678	786
2	656	673
3	362	663
4	661	625
5	460	593
6	612	552
7	726	535
8	732	510
9	732	492
10	728	474
11	671	464
12	153	452
13	590	446
14	584	400
15	578	365
16	532	360
17	659	356
18	223	357
19	610	356
20	704	353
21	551	351
22	748	348
23	791	337
24	807	290
25	455	283
26	464	263
27	763	242
28	450	237
29	417	232
30	759	218
31	371	227
32	460	206
33	808	208
34	770	201
35	261	203
36	719	194
37	660	183
38	143	160
39	460	157
40	632	156
41	192	154
42	352	145
43	29	137
44	462	112
45	622	97
46	282	90
47	336	86
48	302	84
49	468	67
50	598	56
51	573	53
52	615	46
53	478	26
54	525	9
55	607	8
