Vortex	x	y
1	366	791
2	466	771
3	625	730
4	453	572
5	602	566
6	608	581
7	581	560
8	659	560
9	366	507
10	719	488
11	733	476
12	686	469
13	629	461
14	513	454
15	23	451
16	571	447
17	308	449
18	243	363
19	582	363
20	634	359
21	526	359
22	680	353
23	44	349
24	724	345
25	512	341
26	765	336
27	797	323
28	475	304
29	362	303
30	746	293
31	456	289
32	700	246
33	368	245
34	255	234
35	454	234
36	694	225
37	739	219
38	764	214
39	777	217
40	713	209
41	231	208
42	251	214
43	658	204
44	89	190
45	355	188
46	457	182
47	612	158
48	255	157
49	462	136
50	347	129
51	590	121
52	569	116
53	607	104
54	328	97
55	471	92
56	340	82
57	596	77
58	522	70
59	480	50
60	600	44
