Vortex	x	y
1	464	772
2	344	759
3	459	757
4	253	748
5	288	778
6	732	729
7	354	710
8	497	713
9	449	684
10	462	656
11	359	633
12	431	583
13	371	577
14	456	562
15	353	558
16	718	531
17	38	525
18	67	563
19	477	519
20	775	517
21	433	479
22	57	471
23	106	462
24	257	462
25	183	457
26	578	443
27	239	445
28	692	387
29	336	382
30	232	383
31	131	367
32	254	360
33	60	357
34	161	354
35	710	353
36	43	351
37	504	351
38	297	340
39	651	337
40	465	312
41	102	317
42	372	238
43	479	164
44	428	124
45	463	106
46	285	98
47	87	83
48	298	41
