Vortex	x	y
1	455	787
2	347	759
3	305	720
4	529	716
5	383	697
6	642	686
7	796	654
8	452	655
9	576	644
10	465	618
11	564	524
12	357	519
13	341	545
14	773	512
15	96	511
16	592	508
17	509	488
18	435	471
19	563	468
20	57	468
21	296	460
22	274	473
23	616	456
24	119	433
25	698	418
26	345	382
27	484	382
28	28	361
29	543	359
30	160	364
31	182	352
32	198	351
33	672	344
34	633	340
35	433	332
36	756	327
37	328	305
38	99	286
39	457	272
40	348	253
41	292	251
42	172	240
43	307	224
44	360	200
45	476	182
46	130	173
47	471	143
48	398	117
49	487	60
50	304	43
51	162	20
