Vortex	x	y
1	166	799
2	366	786
3	775	772
4	512	765
5	565	785
6	443	758
7	492	748
8	345	703
9	372	700
10	450	655
11	15	649
12	382	589
13	330	587
14	743	560
15	536	554
16	565	550
17	431	536
18	228	485
19	634	480
20	812	475
21	800	477
22	371	475
23	354	475
24	580	473
25	430	471
26	114	469
27	724	465
28	466	464
29	497	478
30	340	461
31	711	450
32	795	449
33	30	450
34	341	445
35	117	443
36	226	434
37	344	386
38	278	384
39	646	383
40	58	372
41	161	366
42	339	329
43	352	349
44	338	321
45	68	324
46	48	299
47	261	281
48	33	259
49	267	248
50	343	237
51	335	181
52	433	170
53	366	104
54	350	92
55	256	73
56	43	39
57	339	21
58	366	21
