Vortex	x	y
1	360	795
2	50	798
3	478	788
4	340	785
5	338	765
6	17	764
7	444	747
8	361	673
9	317	635
10	468	627
11	437	627
12	547	602
13	503	590
14	645	588
15	382	576
16	500	532
17	753	502
18	181	499
19	439	496
20	577	494
21	712	491
22	50	477
23	31	475
24	375	476
25	754	464
26	768	463
27	778	462
28	20	456
29	143	455
30	340	441
31	238	433
32	684	396
33	320	377
34	189	379
35	68	373
36	189	348
37	28	338
38	283	315
39	226	311
40	812	278
41	214	270
42	322	238
43	227	171
44	419	133
45	325	105
46	314	63
47	538	2
