Vortex	x	y
1	175	794
2	185	813
3	360	761
4	763	759
5	516	751
6	449	727
7	350	688
8	363	663
9	111	654
10	162	704
11	357	644
12	3	632
13	24	641
14	446	609
15	336	577
16	733	550
17	372	549
18	560	541
19	535	546
20	808	534
21	424	519
22	238	479
23	642	479
24	400	476
25	376	481
26	488	473
27	792	472
28	127	466
29	172	459
30	55	455
31	153	452
32	266	443
33	336	437
34	499	435
35	339	421
36	668	395
37	296	392
38	206	369
39	88	367
40	495	350
41	343	327
42	466	319
43	381	317
44	64	299
45	272	272
46	337	174
47	420	148
48	265	82
49	56	52
50	344	24
51	281	6
