Vortex	x	y
1	360	807
2	51	801
3	340	790
4	477	788
5	337	767
6	14	765
7	442	756
8	360	685
9	316	637
10	467	634
11	435	633
12	546	604
13	649	590
14	503	591
15	380	584
16	345	581
17	353	588
18	500	538
19	754	503
20	179	500
21	574	494
22	438	494
23	705	490
24	50	478
25	26	476
26	370	472
27	720	470
28	230	468
29	9	456
30	131	455
31	344	445
32	231	435
33	682	397
34	183	382
35	321	378
36	59	374
37	182	348
38	27	339
39	278	315
40	226	313
41	811	278
42	211	269
43	322	242
44	225	166
45	418	134
46	326	110
47	345	96
48	313	62
49	537	3
