Vortex	x	y
1	360	802
2	50	800
3	478	788
4	340	788
5	338	767
6	15	765
7	443	753
8	361	680
9	316	636
10	467	631
11	435	631
12	546	603
13	647	589
14	503	590
15	381	581
16	500	535
17	754	503
18	180	500
19	575	494
20	438	495
21	708	490
22	49	478
23	28	475
24	372	474
25	729	468
26	810	460
27	14	456
28	136	455
29	342	444
30	234	434
31	683	396
32	185	380
33	321	377
34	63	373
35	185	348
36	28	339
37	280	315
38	226	312
39	812	278
40	212	269
41	322	240
42	226	168
43	418	134
44	325	108
45	347	88
46	313	62
47	537	3
48	356	2
