Vortex	x	y
1	306	808
2	345	756
3	756	753
4	509	741
5	189	730
6	234	760
7	452	714
8	165	701
9	353	678
10	362	629
11	446	596
12	58	582
13	124	659
14	339	572
15	729	546
16	798	529
17	423	512
18	365	518
19	7	508
20	651	477
21	374	482
22	243	477
23	486	474
24	471	500
25	780	469
26	59	470
27	137	463
28	761	462
29	186	454
30	292	451
31	306	452
32	809	444
33	333	442
34	513	429
35	672	399
36	304	392
37	219	369
38	101	364
39	508	354
40	330	339
41	461	308
42	386	303
43	76	310
44	338	165
45	418	142
46	270	86
47	64	60
48	353	55
49	346	34
50	286	17
51	371	6
