Vortex	x	y
1	50	811
2	337	800
3	476	791
4	440	783
5	337	778
6	4	764
7	368	742
8	474	707
9	434	647
10	314	643
11	546	611
12	377	606
13	662	596
14	501	586
15	355	587
16	342	579
17	500	554
18	339	544
19	356	534
20	758	507
21	173	502
22	568	495
23	682	488
24	436	485
25	40	479
26	17	478
27	682	475
28	272	476
29	237	474
30	280	459
31	229	461
32	76	448
33	493	442
34	510	450
35	209	438
36	675	396
37	169	381
38	331	379
39	33	375
40	108	341
41	25	341
42	260	315
43	230	315
44	366	306
45	374	321
46	806	280
47	205	270
48	320	247
49	220	154
50	419	139
51	340	134
52	328	133
53	309	58
54	536	10
