Vortex	x	y
1	456	812
2	164	800
3	366	789
4	556	784
5	777	774
6	519	771
7	443	763
8	491	750
9	373	704
10	345	704
11	450	663
12	14	651
13	382	593
14	330	589
15	743	561
16	535	556
17	568	551
18	433	540
19	227	486
20	636	480
21	798	477
22	812	476
23	354	475
24	371	473
25	580	472
26	112	470
27	722	466
28	440	466
29	462	464
30	497	479
31	340	461
32	780	450
33	27	449
34	342	443
35	112	443
36	705	438
37	223	433
38	275	383
39	639	380
40	350	374
41	53	372
42	153	366
43	2	361
44	339	331
45	353	355
46	338	322
47	67	325
48	47	300
49	260	281
50	31	258
51	265	247
52	343	237
53	335	180
54	436	176
55	377	111
56	350	94
57	255	72
58	41	38
59	366	35
60	337	21
