Vortex	x	y
1	681	783
2	364	674
3	659	663
4	662	636
5	461	597
6	616	550
7	727	538
8	734	477
9	678	464
10	612	459
11	140	452
12	590	445
13	619	356
14	710	354
15	664	354
16	218	354
17	529	352
18	754	348
19	796	339
20	463	287
21	811	276
22	765	234
23	405	230
24	764	220
25	371	225
26	811	206
27	357	205
28	773	196
29	459	196
30	265	199
31	721	191
32	155	156
33	635	154
34	662	178
35	184	153
36	460	150
37	352	138
38	32	134
39	463	107
40	625	95
41	278	88
42	337	81
43	468	62
44	578	50
45	599	53
46	618	43
47	477	20
48	609	4
