Vortex	x	y
1	460	814
2	162	801
3	367	793
4	561	788
5	780	777
6	517	773
7	442	768
8	490	750
9	373	709
10	346	705
11	450	673
12	13	653
13	383	597
14	330	591
15	746	563
16	534	558
17	573	552
18	435	545
19	225	487
20	637	481
21	792	479
22	813	477
23	353	476
24	577	472
25	110	471
26	471	469
27	496	480
28	719	466
29	339	463
30	714	455
31	23	449
32	107	442
33	221	434
34	696	431
35	271	381
36	630	376
37	47	373
38	142	366
39	2	356
40	341	334
41	66	326
42	44	301
43	257	282
44	27	252
45	263	244
46	344	239
47	439	185
48	335	179
49	385	120
50	361	102
51	349	95
52	253	69
53	39	36
54	336	24
