Vortex	x	y
1	683	781
2	363	681
3	662	648
4	462	599
5	618	549
6	728	538
7	737	478
8	681	464
9	617	460
10	134	453
11	590	444
12	622	356
13	712	353
14	667	355
15	217	353
16	756	348
17	516	346
18	529	351
19	500	345
20	798	341
21	470	315
22	467	291
23	813	263
24	373	226
25	766	226
26	812	206
27	356	199
28	774	196
29	459	193
30	266	198
31	721	188
32	156	154
33	638	153
34	663	178
35	173	152
36	461	148
37	34	133
38	351	134
39	463	104
40	626	94
41	277	87
42	337	79
43	468	60
44	581	49
45	598	51
46	619	42
47	476	17
48	610	3
