Vortex	x	y
1	810	807
2	507	805
3	328	799
4	373	775
5	479	769
6	452	760
7	368	688
8	446	623
9	322	612
10	542	579
11	607	570
12	339	561
13	386	530
14	339	529
15	764	497
16	498	496
17	204	494
18	625	490
19	354	489
20	16	488
21	709	486
22	286	476
23	254	477
24	522	477
25	326	462
26	496	457
27	128	448
28	41	443
29	285	429
30	669	423
31	492	387
32	809	379
33	190	369
34	55	363
35	46	336
36	428	324
37	320	318
38	358	318
39	11	308
40	339	294
41	237	274
42	246	209
43	326	192
44	393	146
45	329	106
46	319	52
47	436	7
48	9	6
