Vortex	x	y
1	589	811
2	151	809
3	440	801
4	795	792
5	512	788
6	332	778
7	484	758
8	339	754
9	374	739
10	341	723
11	449	720
12	6	665
13	382	611
14	325	601
15	442	578
16	764	574
17	529	569
18	589	560
19	215	491
20	776	489
21	640	486
22	353	487
23	495	485
24	39	483
25	706	478
26	93	475
27	63	476
28	56	478
29	330	462
30	531	466
31	1	448
32	463	442
33	77	441
34	204	435
35	468	424
36	679	419
37	530	376
38	238	374
39	16	376
40	96	367
41	387	349
42	370	353
43	606	335
44	58	332
45	732	325
46	543	326
47	330	322
48	27	304
49	440	285
50	349	285
51	248	280
52	489	271
53	255	226
54	4	225
55	481	210
56	330	176
57	397	137
58	338	109
59	490	83
60	242	52
61	326	40
62	24	21
