Vortex	x	y
1	327	813
2	374	809
3	453	803
4	479	783
5	34	761
6	53	780
7	366	741
8	450	701
9	320	624
10	476	605
11	545	591
12	507	587
13	342	581
14	359	617
15	625	579
16	387	551
17	499	512
18	349	500
19	339	522
20	752	499
21	192	496
22	601	492
23	724	492
24	3	489
25	420	484
26	518	477
27	234	473
28	315	467
29	292	477
30	196	457
31	221	464
32	75	449
33	5	443
34	638	438
35	264	429
36	332	396
37	699	389
38	115	366
39	12	362
40	210	341
41	32	337
42	304	317
43	229	308
44	338	296
45	225	271
46	324	215
47	237	191
48	377	177
49	427	116
50	324	94
51	317	63
