Vortex	x	y
1	464	775
2	343	757
3	459	751
4	256	748
5	287	775
6	730	727
7	495	710
8	354	705
9	448	682
10	462	664
11	360	629
12	430	580
13	371	572
14	355	558
15	458	555
16	717	529
17	40	528
18	67	559
19	476	519
20	773	516
21	59	472
22	437	472
23	110	462
24	259	461
25	187	456
26	591	444
27	243	445
28	236	385
29	701	382
30	343	379
31	135	369
32	259	358
33	65	358
34	153	353
35	40	351
36	706	352
37	506	349
38	297	340
39	658	337
40	466	309
41	104	317
42	372	225
43	479	159
44	433	116
45	464	108
46	286	99
47	90	87
48	299	43
