Vortex	x	y
1	372	808
2	450	797
3	303	700
4	534	698
5	627	671
6	580	649
7	336	648
8	775	644
9	376	600
10	425	573
11	333	557
12	761	512
13	116	512
14	463	509
15	584	502
16	566	513
17	515	488
18	259	483
19	363	481
20	168	480
21	528	477
22	510	468
23	783	462
24	335	453
25	8	443
26	216	440
27	730	436
28	244	390
29	667	389
30	559	375
31	19	365
32	307	352
33	348	306
34	326	301
35	338	289
36	117	282
37	442	256
38	315	233
39	305	251
40	167	235
41	146	189
42	427	149
43	379	86
44	304	55
45	171	40
46	354	33
