Vortex	x	y
1	809	806
2	508	804
3	328	799
4	373	774
5	479	769
6	452	759
7	368	686
8	1	678
9	445	619
10	322	611
11	541	578
12	606	569
13	339	560
14	386	529
15	340	529
16	764	496
17	204	494
18	498	495
19	626	490
20	354	489
21	17	488
22	709	486
23	286	476
24	256	477
25	522	477
26	326	461
27	498	458
28	131	449
29	353	446
30	371	464
31	42	443
32	286	429
33	670	423
34	493	388
35	811	379
36	194	370
37	56	363
38	47	336
39	428	323
40	320	318
41	358	318
42	11	308
43	339	294
44	237	275
45	246	210
46	326	189
47	392	146
48	329	106
49	319	52
50	9	6
51	436	2
