Vortex	x	y
1	144	812
2	802	799
3	510	796
4	330	789
5	480	762
6	374	755
7	340	750
8	450	740
9	340	736
10	2	670
11	375	628
12	324	606
13	442	598
14	780	580
15	539	573
16	598	565
17	383	513
18	770	493
19	209	492
20	635	488
21	497	489
22	355	488
23	372	486
24	26	486
25	706	482
26	81	476
27	64	476
28	511	462
29	525	474
30	327	462
31	329	443
32	60	442
33	187	441
34	302	432
35	675	419
36	504	384
37	217	373
38	2	374
39	76	365
40	53	335
41	326	318
42	432	312
43	20	306
44	342	292
45	353	307
46	243	278
47	251	217
48	328	181
49	396	140
50	333	110
51	323	47
52	237	38
53	16	14
