Vortex	x	y
1	175	793
2	185	812
3	359	760
4	762	759
5	515	750
6	449	726
7	350	687
8	363	660
9	111	654
10	165	708
11	357	642
12	3	632
13	25	641
14	447	607
15	336	577
16	733	550
17	371	546
18	557	541
19	538	545
20	807	534
21	424	519
22	239	480
23	643	478
24	398	476
25	376	481
26	488	473
27	791	472
28	128	466
29	174	459
30	56	455
31	156	452
32	270	444
33	336	435
34	501	433
35	339	424
36	668	397
37	297	391
38	208	369
39	90	367
40	496	350
41	342	327
42	465	319
43	382	315
44	65	301
45	273	271
46	337	173
47	419	146
48	265	83
49	57	53
50	344	25
51	282	9
