Vortex	x	y
1	371	795
2	454	782
3	450	726
4	442	711
5	304	695
6	535	693
7	621	666
8	580	648
9	770	642
10	334	640
11	378	583
12	432	561
13	332	559
14	758	512
15	120	512
16	566	508
17	585	498
18	456	500
19	520	490
20	258	484
21	554	480
22	175	481
23	459	471
24	451	484
25	490	465
26	779	461
27	778	446
28	20	444
29	233	439
30	683	393
31	255	384
32	105	375
33	545	369
34	89	365
35	34	362
36	347	358
37	331	365
38	352	326
39	325	295
40	122	281
41	447	271
42	336	262
43	308	248
44	168	235
45	318	230
46	150	194
47	422	132
48	303	56
49	173	45
50	355	37
51	369	37
